event_ticker,symbol,words,sched_occ,tdate,bulk_close,first_cluster_close,n_clusters,est_dur,so
KXEARNINGSMENTIONHIMS-26MAY11,HIMS,10606.0,,2026-05-11,2026-05-12 00:27:17+00:00,2026-05-12 00:27:17+00:00,1.0,70.70666666666666,
KXEARNINGSMENTIONCRCL-26MAY11,CRCL,10920.0,2026-05-11T14:40:00+00:00,2026-05-11,2026-05-11 15:01:52+00:00,2026-05-11 15:01:52+00:00,1.0,72.8,2026-05-11 14:40:00+00:00
KXEARNINGSMENTIONOKLO-26MAY12,OKLO,8679.0,2026-05-13T01:00:00+00:00,2026-05-12,2026-05-13 01:46:25+00:00,2026-05-13 01:46:25+00:00,1.0,57.86,2026-05-13 01:00:00+00:00
KXEARNINGSMENTIONNBIS-26MAY13,NBIS,6687.0,2026-05-13T14:30:00+00:00,2026-05-13,2026-05-13 17:29:52+00:00,2026-05-13 17:29:52+00:00,1.0,44.58,2026-05-13 14:30:00+00:00
KXEARNINGSMENTIONKLAR-26MAY14,KLAR,5811.0,2026-05-14T15:00:00+00:00,2026-05-14,2026-05-14 15:52:57+00:00,2026-05-14 15:52:57+00:00,1.0,38.74,2026-05-14 15:00:00+00:00
KXEARNINGSMENTIONHD-26MAY19,HD,8936.0,,2026-05-19,2026-05-19 14:30:34+00:00,2026-05-19 14:30:34+00:00,1.0,59.57333333333333,
KXEARNINGSMENTIONCAVA-26MAY19,CAVA,9619.0,2026-05-19T20:00:00+00:00,2026-05-19,2026-05-19 23:21:04+00:00,2026-05-19 23:21:04+00:00,1.0,64.12666666666667,2026-05-19 20:00:00+00:00
KXEARNINGSMENTIONURBN-26MAY20,URBN,7299.0,2026-05-21T13:00:00+00:00,2026-05-20,2026-05-21 13:54:42+00:00,2026-05-21 13:54:42+00:00,1.0,48.66,2026-05-21 13:00:00+00:00
KXEARNINGSMENTIONTOL-26MAY20,TOL,8034.0,2026-05-21T13:00:00+00:00,2026-05-20,2026-05-21 13:51:07+00:00,2026-05-21 13:51:07+00:00,1.0,53.56,2026-05-21 13:00:00+00:00
KXEARNINGSMENTIONTGT-26MAY20,TGT,10673.0,2026-05-20T14:25:00+00:00,2026-05-20,2026-05-20 17:04:32+00:00,2026-05-20 17:04:32+00:00,1.0,71.15333333333334,2026-05-20 14:25:00+00:00
KXEARNINGSMENTIONNVDA-26MAY20,NVDA,7721.0,,2026-05-20,2026-05-20 22:25:09+00:00,2026-05-20 22:25:09+00:00,1.0,51.473333333333336,
KXEARNINGSMENTIONLOW-26MAY20,LOW,9853.0,2026-05-20T14:30:00+00:00,2026-05-20,2026-05-20 14:37:28+00:00,2026-05-20 14:37:28+00:00,1.0,65.68666666666667,2026-05-20 14:30:00+00:00
KXEARNINGSMENTIONWMT-26MAY21,WMT,9619.0,,2026-05-21,2026-05-21 13:59:10+00:00,2026-05-21 13:59:10+00:00,1.0,64.12666666666667,
KXEARNINGSMENTIONDE-26MAY21,DE,10146.0,2026-09-21T15:35:00+00:00,2026-05-21,2026-05-21 15:41:50+00:00,2026-05-21 15:41:50+00:00,1.0,67.64,2026-09-21 15:35:00+00:00
KXEARNINGSMENTIONBULL-26MAY21,BULL,7291.0,2026-05-21T22:15:00+00:00,2026-05-21,2026-05-21 22:15:20+00:00,2026-05-21 22:15:20+00:00,1.0,48.60666666666667,2026-05-21 22:15:00+00:00
KXEARNINGSMENTIONSNOW-26MAY27,SNOW,8266.0,2026-05-28T00:10:00+00:00,2026-05-27,2026-05-28 00:12:14+00:00,2026-05-28 00:12:14+00:00,1.0,55.10666666666667,2026-05-28 00:10:00+00:00
KXEARNINGSMENTIONMRVL-26MAY27,MRVL,9459.0,,2026-05-27,2026-05-27 22:10:47+00:00,2026-05-27 22:10:47+00:00,1.0,63.06,
KXEARNINGSMENTIONANF-26MAY27,ANF,7913.0,2026-05-27T15:00:00+00:00,2026-05-27,2026-05-27 15:16:00+00:00,2026-05-27 15:16:00+00:00,1.0,52.75333333333333,2026-05-27 15:00:00+00:00
KXEARNINGSMENTIONRY-26MAY28,RY,9799.0,2026-05-28T14:30:00+00:00,2026-05-28,2026-05-28 15:35:29+00:00,2026-05-28 15:35:29+00:00,2.0,65.32666666666667,2026-05-28 14:30:00+00:00
KXEARNINGSMENTIONDELL-26MAY28,DELL,8583.0,2026-05-28T19:45:00+00:00,2026-05-28,2026-05-28 23:06:05+00:00,2026-05-28 23:06:05+00:00,1.0,57.22,2026-05-28 19:45:00+00:00
KXEARNINGSMENTIONCRM-26MAY28,CRM,11774.0,2026-05-27T19:45:00+00:00,2026-05-28,2026-05-27 22:35:20+00:00,2026-05-27 22:35:20+00:00,2.0,78.49333333333334,2026-05-27 19:45:00+00:00
KXEARNINGSMENTIONCOST-26MAY28,COST,10361.0,2026-05-28T22:30:00+00:00,2026-05-28,2026-05-28 23:43:31+00:00,2026-05-28 23:43:31+00:00,1.0,69.07333333333334,2026-05-28 22:30:00+00:00
KXEARNINGSMENTIONHPE-26JUN01,HPE,9265.0,2026-06-01T22:00:00+00:00,2026-06-01,2026-06-01 22:37:45+00:00,2026-06-01 22:37:45+00:00,1.0,61.766666666666666,2026-06-01 22:00:00+00:00
KXEARNINGSMENTIONVSCO-26JUN02,VSCO,10486.0,2026-06-02T13:00:00+00:00,2026-06-02,2026-06-02 16:30:21+00:00,2026-06-02 16:30:21+00:00,1.0,69.90666666666667,2026-06-02 13:00:00+00:00
KXEARNINGSMENTIONULTA-26JUN02,ULTA,6845.0,,2026-06-02,2026-06-03 00:27:22+00:00,2026-06-03 00:27:22+00:00,1.0,45.63333333333333,
KXEARNINGSMENTIONM-26JUN03,M,9889.0,2026-06-03T15:10:00+00:00,2026-06-03,2026-06-03 18:10:48+00:00,2026-06-03 18:10:48+00:00,1.0,65.92666666666666,2026-06-03 15:10:00+00:00
KXEARNINGSMENTIONCRWD-26JUN03,CRWD,8785.0,2026-06-03T20:30:00+00:00,2026-06-03,2026-06-03 23:26:09+00:00,2026-06-03 23:26:09+00:00,1.0,58.56666666666667,2026-06-03 20:30:00+00:00
KXEARNINGSMENTIONAVGO-26JUN03,AVGO,6577.0,2026-06-03T20:00:00+00:00,2026-06-03,2026-06-03 23:07:50+00:00,2026-06-03 23:07:50+00:00,1.0,43.846666666666664,2026-06-03 20:00:00+00:00
KXEARNINGSMENTIONLULU-26JUN04,LULU,8779.0,2026-06-04T19:00:00+00:00,2026-06-04,2026-06-04 22:21:37+00:00,2026-06-04 22:21:37+00:00,1.0,58.526666666666664,2026-06-04 19:00:00+00:00
KXEARNINGSMENTIONMTN-26JUN08,MTN,9341.0,2026-06-08T19:30:00+00:00,2026-06-08,2026-06-08 22:43:25+00:00,2026-06-08 22:43:25+00:00,1.0,62.27333333333333,2026-06-08 19:30:00+00:00
KXEARNINGSMENTIONCBRL-26JUN09,CBRL,7444.0,2026-06-09T23:00:00+00:00,2026-06-09,2026-06-10 02:06:50+00:00,2026-06-10 02:06:50+00:00,1.0,49.626666666666665,2026-06-09 23:00:00+00:00
KXEARNINGSMENTIONORCL-26JUN10,ORCL,,,,,,,,
KXEARNINGSMENTIONCHWY-26JUN10,CHWY,8242.0,2026-06-10T12:05:00+00:00,2026-06-10,2026-06-10 15:06:15+00:00,2026-06-10 15:06:15+00:00,1.0,54.946666666666665,2026-06-10 12:05:00+00:00
KXEARNINGSMENTIONADBE-26JUN11,ADBE,10015.0,2026-06-11T23:00:00+00:00,2026-06-11,2026-06-11 22:49:27+00:00,2026-06-11 22:49:27+00:00,1.0,66.76666666666667,2026-06-11 23:00:00+00:00
KXEARNINGSMENTIONKR-26JUN18,KR,9047.0,2026-06-18T12:00:00+00:00,2026-06-18,2026-06-18 17:03:25+00:00,2026-06-18 17:03:25+00:00,2.0,60.31333333333333,2026-06-18 12:00:00+00:00
KXEARNINGSMENTIONFDX-26JUN23,FDX,8775.0,2026-06-23T21:45:00+00:00,2026-06-23,2026-06-24 00:51:00+00:00,2026-06-23 22:30:32+00:00,2.0,58.5,2026-06-23 21:45:00+00:00
KXEARNINGSMENTIONCCL-26JUN23,CCL,8534.0,2026-06-23T14:00:00+00:00,2026-06-23,2026-06-23 19:53:52+00:00,2026-06-23 19:53:52+00:00,1.0,56.89333333333333,2026-06-23 14:00:00+00:00
KXEARNINGSMENTIONMU-26JUN24,MU,,,,,,,,
KXEARNINGSMENTIONPEP-26JUN29,PEP,,,,,,,,
KXEARNINGSMENTIONAVAV-26JUN29,AVAV,11958.0,2026-06-30T01:00:00+00:00,2026-06-29,2026-06-30 02:06:08+00:00,2026-06-30 02:06:08+00:00,1.0,79.72,2026-06-30 01:00:00+00:00
KXEARNINGSMENTIONNKE-26JUN30,NKE,8637.0,2026-12-31T15:00:00+00:00,2026-06-30,2026-06-30 22:35:32+00:00,2026-06-30 22:35:32+00:00,2.0,57.58,2026-12-31 15:00:00+00:00
KXEARNINGSMENTIONSTZ-26JUL01,STZ,6169.0,2026-07-01T15:00:00+00:00,2026-07-01,2026-07-01 15:44:53+00:00,2026-07-01 15:44:53+00:00,1.0,41.126666666666665,2026-07-01 15:00:00+00:00
KXEARNINGSMENTIONGIS-26JUL01,GIS,6852.0,2026-07-01T14:00:00+00:00,2026-07-01,2026-07-01 15:29:37+00:00,2026-07-01 15:29:37+00:00,1.0,45.68,2026-07-01 14:00:00+00:00
KXEARNINGSMENTIONLEVI-26JUL08,LEVI,8617.0,2026-12-31T15:00:00+00:00,2026-07-08,2026-07-08 23:42:21+00:00,2026-07-08 23:42:21+00:00,2.0,57.446666666666665,2026-12-31 15:00:00+00:00
KXEARNINGSMENTIONDAL-26JUL10,DAL,10430.0,2026-12-31T15:00:00+00:00,2026-07-10,2026-07-10 20:08:33+00:00,2026-07-10 20:08:33+00:00,1.0,69.53333333333333,2026-12-31 15:00:00+00:00
KXEARNINGSMENTIONWFC-26JUL14,WFC,12180.0,2026-07-14T14:00:00+00:00,2026-07-14,2026-07-14 16:21:21+00:00,2026-07-14 16:21:21+00:00,1.0,81.2,2026-07-14 14:00:00+00:00
KXEARNINGSMENTIONJPM-26JUL14,JPM,11576.0,2026-07-14T14:00:00+00:00,2026-07-14,2026-07-14 15:25:21+00:00,2026-07-14 15:25:21+00:00,1.0,77.17333333333333,2026-07-14 14:00:00+00:00
KXEARNINGSMENTIONGS-26JUL14,GS,10673.0,2026-12-31T15:00:00+00:00,2026-07-14,2026-07-14 16:35:13+00:00,2026-07-14 16:35:13+00:00,1.0,71.15333333333334,2026-12-31 15:00:00+00:00
KXEARNINGSMENTIONC-26JUL14,C,14776.0,2026-12-31T15:00:00+00:00,2026-07-14,2026-07-14 19:03:24+00:00,2026-07-14 19:03:24+00:00,1.0,98.50666666666666,2026-12-31 15:00:00+00:00
KXEARNINGSMENTIONBAC-26JUL14,BAC,9329.0,2026-12-31T15:00:00+00:00,2026-07-14,2026-07-14 15:58:35+00:00,2026-07-14 15:58:35+00:00,1.0,62.193333333333335,2026-12-31 15:00:00+00:00
KXEARNINGSMENTIONMS-26JUL15,MS,8444.0,2026-12-31T15:00:00+00:00,2026-07-15,2026-07-15 16:29:40+00:00,2026-07-15 16:29:40+00:00,1.0,56.29333333333334,2026-12-31 15:00:00+00:00
