event_ticker,tdate,suffix,title,sub_title,bulk_close,bulk_n,max_close,min_close,sched_occ,n_markets
KXFIGHTMENTION-26MAY16ROUCAR,2026-05-16,ROUCAR,What will the announcers say during Rousey vs Carano,Rousey vs Carano,2026-05-17 17:54:10+00:00,10,2026-05-17 17:55:40+00:00,2026-05-17 05:45:11+00:00,2026-05-31T01:00:00+00:00,16
KXFIGHTMENTION-26MAY16NGALIN,2026-05-16,NGALIN,What will the announcers say during Ngannou vs Lins ,Ngannou vs Lins,2026-05-17 17:50:30+00:00,9,2026-05-17 17:51:51+00:00,2026-05-17 04:41:13+00:00,2026-05-31T00:30:00+00:00,16
KXFIGHTMENTION-26MAY16DIAPER,2026-05-16,DIAPER,What will the announcers say during Diaz vs Perry ,Diaz vs Perry ,2026-05-17 05:30:30+00:00,8,2026-05-17 17:43:04+00:00,2026-05-17 05:30:30+00:00,2026-05-31T00:00:00+00:00,16
KXFIGHTMENTION-26MAY30SONFIG,2026-05-30,SONFIG,What will the announcers say during Yadong Song vs Deiveson Figueiredo UFC Fight,Yadong Song vs Deiveson Figueiredo UFC Fight,2026-05-30 15:01:25+00:00,12,2026-05-30 15:28:00+00:00,2026-05-30 15:01:25+00:00,2026-06-13T12:40:00+00:00,14
KXFIGHTMENTION-26MAY30MINMEN,2026-05-30,MINMEN,What will the announcers say during Zhang Mingyang vs Alonzo Menifield UFC Fight,Zhang Mingyang vs Alonzo Menifield UFC Fight,2026-05-30 15:28:45+00:00,9,2026-05-30 15:29:42+00:00,2026-05-30 14:15:15+00:00,2026-06-13T12:20:00+00:00,14
KXFIGHTMENTION-26MAY30PAVTEI,2026-05-30,PAVTEI,What will the announcers say during Sergei Pavlovich vs Tallison Teixeira UFC Fight,Sergei Pavlovich vs Tallison Teixeira UFC Fight,2026-05-30 14:00:42+00:00,8,2026-05-30 15:30:31+00:00,2026-05-30 14:00:42+00:00,2026-06-13T12:00:00+00:00,14
KXFIGHTMENTION-26MAY30ASASMO,2026-05-30,ASASMO,What will the announcers say during Kai Asakura vs Cameron Smotherman UFC Fight,Kai Asakura vs Cameron Smotherman UFC Fight,2026-05-30 13:11:54+00:00,9,2026-05-30 14:23:14+00:00,2026-05-30 13:11:54+00:00,2026-06-13T11:40:00+00:00,14
KXFIGHTMENTION-26MAY30MATCAR,2026-05-30,MATCAR,What will the announcers say during Jake Matthews vs Harris Carlston UFC Fight,Jake Matthews vs Harris Carlston UFC Fight,2026-05-30 12:55:08+00:00,12,2026-05-30 14:23:30+00:00,2026-05-30 12:55:08+00:00,2026-06-13T11:20:00+00:00,14
KXFIGHTMENTION-26MAY30PERMUD,2026-05-30,PERMUD,What will the announcers say during Alex Perez vs Su Mudaerji UFC Fight,Alex Perez vs Su Mudaerji UFC Fight,2026-05-30 12:15:37+00:00,12,2026-05-30 14:24:01+00:00,2026-05-30 12:15:37+00:00,2026-06-13T11:00:00+00:00,14
KXFIGHTMENTION-26JUN06MUHBON,2026-06-06,MUHBON,What will the announcers say during Belal Muhammad vs Gabriel Bonfim UFC Fight,Belal Muhammad vs Gabriel Bonfim UFC Fight,2026-06-07 04:15:17+00:00,7,2026-06-07 17:36:13+00:00,2026-06-07 04:15:17+00:00,2026-06-21T01:20:00+00:00,14
KXFIGHTMENTION-26JUN06ALLSHA,2026-06-06,ALLSHA,What will the announcers say during Brendan Allen vs Edmen Shahbazyan UFC Fight,Brendan Allen vs Edmen Shahbazyan UFC Fight,2026-06-07 02:30:42+00:00,9,2026-06-07 20:00:18+00:00,2026-06-07 02:30:42+00:00,2026-06-21T01:00:00+00:00,14
KXFIGHTMENTION-26JUN06ZIANOL,2026-06-06,ZIANOL,What will the announcers say during Fares Ziam vs Tom Nolan UFC Fight,Fares Ziam vs Tom Nolan UFC Fight,2026-06-07 02:35:13+00:00,9,2026-06-08 19:59:43+00:00,2026-06-07 02:35:13+00:00,2026-06-21T00:40:00+00:00,14
KXFIGHTMENTION-26JUN14TOPGAE,2026-06-14,TOPGAE,What will the announcers say during Ilia Topuria vs Justin Gaethje UFC Fight,Ilia Topuria vs Justin Gaethje UFC Fight,2026-06-15 14:06:08+00:00,16,2026-06-15 14:06:26+00:00,2026-06-15 04:40:45+00:00,2026-06-29T02:10:00+00:00,17
KXFIGHTMENTION-26JUN14PERGAN,2026-06-14,PERGAN,What will the announcers say during Alex Pereira vs Ciryl Gane UFC Fight,Alex Pereira vs Ciryl Gane UFC Fight,2026-06-15 04:25:28+00:00,9,2026-06-15 14:20:50+00:00,2026-06-15 04:25:28+00:00,2026-06-29T01:40:00+00:00,17
KXFIGHTMENTION-26JUN14OMZAH,2026-06-14,OMZAH,What will the announcers say during Sean O'Malley vs Aiemann Zahabi UFC Fight,Sean O'Malley vs Aiemann Zahabi UFC Fight,2026-06-15 03:50:41+00:00,11,2026-06-15 14:29:38+00:00,2026-06-15 03:50:41+00:00,2026-06-29T01:20:00+00:00,17
KXFIGHTMENTION-26JUN14HOKLEW,2026-06-14,HOKLEW,What will the announcers say during Josh Hokit vs Derrick Lewis UFC Fight,Josh Hokit vs Derrick Lewis UFC Fight,2026-06-15 03:20:31+00:00,9,2026-06-15 16:00:13+00:00,2026-06-15 03:20:31+00:00,2026-06-29T01:00:00+00:00,17
KXFIGHTMENTION-26JUN14RUFCHA,2026-06-14,RUFCHA,What will the announcers say during Mauricio Ruffy vs Michael Chandler UFC Fight,Mauricio Ruffy vs Michael Chandler UFC Fight,2026-06-15 02:40:39+00:00,10,2026-06-15 14:34:06+00:00,2026-06-15 02:40:39+00:00,2026-06-29T00:40:00+00:00,17
KXFIGHTMENTION-26JUN14NICDAU,2026-06-14,NICDAU,What will the announcers say during Bo Nickal vs Kyle Daukaus UFC Fight,Bo Nickal vs Kyle Daukaus UFC Fight,2026-06-15 02:15:31+00:00,11,2026-06-15 04:52:48+00:00,2026-06-15 02:15:31+00:00,2026-06-29T00:20:00+00:00,17
KXFIGHTMENTION-26JUN14LOPGAR,2026-06-14,LOPGAR,What will the announcers say during Diego Lopes vs Steve Garcia UFC Fight,Diego Lopes vs Steve Garcia UFC Fight,2026-06-15 03:18:44+00:00,9,2026-06-15 03:18:44+00:00,2026-06-15 01:50:30+00:00,2026-06-29T00:00:00+00:00,17
KXFIGHTMENTION-26JUN20KAPHOR,2026-06-20,KAPHOR,What will the announcers say during Manel Kape vs Kyoji Horiguchi Fight,Manel Kape vs Kyoji Horiguchi UFC Fight,2026-06-21 14:29:46+00:00,10,2026-06-21 14:29:46+00:00,2026-06-21 03:01:04+00:00,2026-07-05T01:20:00+00:00,14
KXFIGHTMENTION-26JUN20FILDEO,2026-06-20,FILDEO,What will the announcers say during Andre Fili vs Vinicius De Oliveira Prestes De Matos Fight,Andre Fili vs Vinicius De Oliveira Prestes De Matos UFC Fight,2026-06-21 14:38:50+00:00,12,2026-06-21 14:39:09+00:00,2026-06-21 00:55:28+00:00,2026-07-05T01:00:00+00:00,14
KXFIGHTMENTION-26JUN20CUTSTI,2026-06-20,CUTSTI,What will the announcers say during Ion Cutelaba vs Navajo Stirling Fight,Ion Cutelaba vs Navajo Stirling UFC Fight,2026-06-21 14:30:45+00:00,8,2026-06-21 14:31:08+00:00,2026-06-21 02:20:49+00:00,2026-07-05T01:00:00+00:00,14
KXFIGHTMENTION-26JUN20AMIROD,2026-06-20,AMIROD,What will the announcers say during Hyder Amil vs Christian Rodriguez Fight,Hyder Amil vs Christian Rodriguez UFC Fight,2026-06-21 14:33:59+00:00,8,2026-06-21 14:34:00+00:00,2026-06-21 01:40:41+00:00,2026-07-05T00:40:00+00:00,14
KXFIGHTMENTION-26JUN20LIMBOR,2026-06-20,LIMBOR,What will the announcers say during Andre (Bra) Lima vs Kevin Borjas Fight,Andre (Bra) Lima vs Kevin Borjas UFC Fight,2026-06-21 00:31:02+00:00,9,2026-06-21 14:40:45+00:00,2026-06-21 00:31:02+00:00,2026-07-05T00:20:00+00:00,14
KXFIGHTMENTION-26JUN20BAGMAG,2026-06-20,BAGMAG,What will the announcers say during Melsik Baghdasaryan vs Murtazali Magomedov Fight,Melsik Baghdasaryan vs Murtazali Magomedov UFC Fight,2026-06-21 14:34:28+00:00,8,2026-06-21 14:34:29+00:00,2026-06-21 01:31:09+00:00,2026-07-05T00:00:00+00:00,14
KXFIGHTMENTION-26JUN20MESMUL,2026-06-20,MESMUL,What will the announcers say during Beatriz Mesquita vs Melissa Mullins Fight,Beatriz Mesquita vs Melissa Mullins Fight,2026-06-21 19:45:40+00:00,12,2026-06-21 22:09:53+00:00,2026-06-21 19:45:40+00:00,2026-07-04T23:05:00+00:00,14
KXFIGHTMENTION-26JUL11MCGHOL,2026-07-11,MCGHOL,What will the announcers say during Conor McGregor vs Max Holloway Fight,Conor McGregor vs Max Holloway Fight,2026-07-12 16:15:50+00:00,10,2026-07-12 16:15:50+00:00,2026-07-12 04:15:42+00:00,2026-07-26T02:00:00+00:00,17
KXFIGHTMENTION-26JUL11SAIPIM,2026-07-11,SAIPIM,What will the announcers say during Benoit Saint-Denis vs Paddy Pimblett Fight,Benoit Saint-Denis vs Paddy Pimblett Fight,2026-07-12 16:14:34+00:00,8,2026-07-12 16:14:34+00:00,2026-07-12 04:01:57+00:00,2026-07-26T01:40:00+00:00,14
KXFIGHTMENTION-26JUL11SANBAU,2026-07-11,SANBAU,What will the announcers say during Cory Sandhagen vs Mario Bautista Fight,Cory Sandhagen vs Mario Bautista Fight,2026-07-12 03:20:51+00:00,8,2026-07-12 16:14:15+00:00,2026-07-12 03:20:51+00:00,2026-07-26T01:20:00+00:00,14
