event_ticker,tdate,suffix,title,sub_title,bulk_close,bulk_n,max_close,min_close,sched_occ,n_markets
KXHEARINGMENTION-26MAY12,2026-05-12,,What will Kash Patel say during the FBI budget hearing?,"Kash Patel - A Review of the President’s Fiscal Year 2027 Budget Request for the Federal Bureau of Investigation; the Drug Enforcement Administration; the United States Marshals Service; and the Bureau of Alcohol, Tobacco, Firearms and Explosives",2026-05-12 20:55:08+00:00,14,2026-05-12 21:13:54+00:00,2026-05-12 20:55:08+00:00,2026-05-13T14:00:00+00:00,16
KXHEARINGMENTION-26MAY18,2026-05-18,,What will Markwayne Mullin say during the Oversight Hearing on Homeland Security?,"Markwayne Mullin - House Committee on Appropriations, Oversight Hearing on Homeland Security ",2026-05-20 15:03:20+00:00,17,2026-05-20 15:05:38+00:00,2026-05-20 15:03:20+00:00,2026-05-20T15:00:00+00:00,17
KXHEARINGMENTION-26MAY19B,2026-05-19,B,What will Sean Duffy say during the Department of Transportation Budget hearing?,Sean Duffy - Senate Committee on Appropriations - Department of Transportation Budget hearing,2026-05-19 22:44:07+00:00,15,2026-05-19 22:44:28+00:00,2026-05-19 22:44:07+00:00,2026-05-19T18:00:00+00:00,15
KXHEARINGMENTION-26MAY19,2026-05-19,,What will Todd Blanche say during the DOJ Budget Hearing?,Todd Blanche - Senate Committee on Appropriations - DOJ Budget Hearing,2026-05-19 16:10:29+00:00,14,2026-05-19 16:40:55+00:00,2026-05-19 16:10:29+00:00,2026-05-20T14:00:00+00:00,18
KXHEARINGMENTION-26MAY21,2026-05-21,,What will Sean Duffy say during the Department of Transportation Budget hearing?,Sean Duffy - House Committee on Appropriations - Department of Transportation Budget hearing,2026-05-21 22:16:24+00:00,15,2026-05-21 22:17:35+00:00,2026-05-21 22:16:24+00:00,2026-05-21T22:00:00+00:00,15
KXHEARINGMENTION-26JUN02,2026-06-02,,What will Markwayne Mullin say during the DHS Budget Hearing?,Markwayne Mullin - Senate Committee on Appropriations - DHS Budget Hearing,2026-06-02 21:47:40+00:00,10,2026-06-02 21:49:00+00:00,2026-06-02 20:55:15+00:00,2026-06-03T14:00:00+00:00,16
KXHEARINGMENTION-26JUN03C,2026-06-03,C,What will the witnesses say during the Gender Transition on Minors hearing?,any participating witness - Senate Committee on Health Education Labor & Pensions - Protecting Our Children: Exposing the Dangers of Irreversible Gender Transition Procedures on Minors,2026-06-03 16:31:48+00:00,15,2026-06-03 16:40:54+00:00,2026-06-03 16:31:48+00:00,2026-06-04T14:00:00+00:00,20
KXHEARINGMENTION-26JUN03,2026-06-03,,What will Markwayne Mullin say during the DHS Budget Hearing (June 3)?,Markwayne Mullin - House Committee on Homeland Security - DHS Budget Hearing,2026-06-03 17:55:23+00:00,13,2026-06-03 18:00:48+00:00,2026-06-03 17:55:23+00:00,2026-06-04T14:00:00+00:00,16
KXHEARINGMENTION-26JUN04B,2026-06-04,B,What will the witnesses say during the Homeland Security hearing on AI Security?,any participating witness - Committee on Homeland Security - The AI Security Landscape: How AI is Reshaping Cybersecurity and Critical Infrastructure Resilience,2026-06-04 17:35:14+00:00,15,2026-06-04 18:04:36+00:00,2026-06-04 17:35:14+00:00,2026-06-05T14:00:00+00:00,16
KXHEARINGMENTION-26JUN04,2026-06-04,,What will the witnesses say during Fentanyl Crisis hearing?,any participating witness - House Foreign Affairs Committee - Beijing’s Poison Pipeline: The CCP’s Role in the Fentanyl Crisis,2026-06-04 19:55:10+00:00,13,2026-06-04 20:02:19+00:00,2026-06-04 19:55:10+00:00,2026-06-05T14:00:00+00:00,14
