event_ticker,league,game_name,sched_start_utc,actual_first_play_utc,actual_end_utc,duration_min,n_ot,match_confidence,notes
KXNBAMENTION-26MAY06MINSAS,NBA,Minnesota Timberwolves at San Antonio Spurs,2026-05-07 01:30:00+00:00,2026-05-07 01:48:15+00:00,2026-05-07 04:21:09+00:00,171.2,0,high,
KXNBAMENTION-26MAY10SASMIN,NBA,San Antonio Spurs at Minnesota Timberwolves,2026-05-10 23:30:00+00:00,2026-05-10 23:43:11+00:00,2026-05-11 02:19:59+00:00,170.0,0,high,
KXNBAMENTION-26MAY10NYKPHI,NBA,New York Knicks at Philadelphia 76ers,2026-05-10 19:30:00+00:00,2026-05-10 19:40:54+00:00,2026-05-10 22:11:09+00:00,161.2,0,high,
KXNBAMENTION-26MAY11OKCLAL,NBA,Oklahoma City Thunder at Los Angeles Lakers,2026-05-12 02:30:00+00:00,2026-05-12 02:48:05+00:00,2026-05-12 05:25:39+00:00,175.7,0,high,
KXNBAMENTION-26MAY11DETCLE,NBA,Detroit Pistons at Cleveland Cavaliers,2026-05-12 00:00:00+00:00,2026-05-12 00:11:50+00:00,2026-05-12 02:39:53+00:00,159.9,0,high,
KXNBAMENTION-26MAY12MINSAS,NBA,Minnesota Timberwolves at San Antonio Spurs,2026-05-13 00:00:00+00:00,2026-05-13 00:13:53+00:00,2026-05-13 02:41:41+00:00,161.7,0,high,
KXNBAMENTION-26MAY13CLEDET,NBA,Cleveland Cavaliers at Detroit Pistons,2026-05-14 00:00:00+00:00,2026-05-14 00:14:20+00:00,2026-05-14 03:07:14+00:00,187.2,1,high,
KXNBAMENTION-26MAY15SASMIN,NBA,San Antonio Spurs at Minnesota Timberwolves,2026-05-16 01:30:00+00:00,2026-05-16 01:48:12+00:00,2026-05-16 04:15:25+00:00,165.4,0,high,
KXNBAMENTION-26MAY15DETCLE,NBA,Detroit Pistons at Cleveland Cavaliers,2026-05-15 23:00:00+00:00,2026-05-15 23:12:12+00:00,2026-05-16 01:43:49+00:00,163.8,0,high,
KXNBAMENTION-26MAY18SASOKC,NBA,San Antonio Spurs at Oklahoma City Thunder,2026-05-19 00:30:00+00:00,2026-05-19 00:37:12+00:00,2026-05-19 03:43:09+00:00,193.2,2,high,
KXNBAMENTION-26MAY19CLENYK,NBA,Cleveland Cavaliers at New York Knicks,2026-05-20 00:00:00+00:00,2026-05-20 00:13:45+00:00,2026-05-20 02:59:58+00:00,180.0,1,high,
KXNBAMENTION-26MAY20SASOKC,NBA,San Antonio Spurs at Oklahoma City Thunder,2026-05-21 00:30:00+00:00,2026-05-21 00:36:59+00:00,2026-05-21 03:05:43+00:00,155.7,0,high,
KXNBAMENTION-26MAY21CLENYK,NBA,Cleveland Cavaliers at New York Knicks,2026-05-22 00:00:00+00:00,2026-05-22 00:13:54+00:00,2026-05-22 02:40:48+00:00,160.8,0,high,
KXNBAMENTION-26MAY22OKCSAS,NBA,Oklahoma City Thunder at San Antonio Spurs,2026-05-23 00:30:00+00:00,2026-05-23 00:36:53+00:00,2026-05-23 03:23:38+00:00,173.6,0,high,
KXNBAMENTION-26MAY23NYKCLE,NBA,New York Knicks at Cleveland Cavaliers,2026-05-24 00:00:00+00:00,2026-05-24 00:13:43+00:00,2026-05-24 02:45:50+00:00,165.8,0,high,
KXNBAMENTION-26MAY24OKCSAS,NBA,Oklahoma City Thunder at San Antonio Spurs,2026-05-25 00:00:00+00:00,2026-05-25 00:13:02+00:00,2026-05-25 02:50:12+00:00,170.2,0,high,
KXNBAMENTION-26MAY25NYKCLE,NBA,New York Knicks at Cleveland Cavaliers,2026-05-26 00:00:00+00:00,2026-05-26 00:13:32+00:00,2026-05-26 02:31:37+00:00,151.6,0,high,
