event_ticker,tdate,suffix,title,sub_title,bulk_close,bulk_n,max_close,min_close,sched_occ,n_markets
KXNHLMENTION-26MAY11COLMIN,2026-05-11,COLMIN,What will the announcers say during Game 4: Avalanche at Wild,Game 4: Colorado at Minnesota professional hockey game,2026-05-12 06:00:40+00:00,15,2026-05-12 14:49:10+00:00,2026-05-12 06:00:40+00:00,2026-05-26T00:00:00+00:00,16
KXNHLMENTION-26MAY12BUFMTL,2026-05-12,BUFMTL,What will the announcers say during Game 4: Buffalo at Montreal,Game 4: Buffalo at Montreal ,2026-05-13 04:35:04+00:00,14,2026-05-13 13:02:11+00:00,2026-05-13 04:35:04+00:00,2026-05-26T23:00:00+00:00,16
KXNHLMENTION-26MAY13MINCOL,2026-05-13,MINCOL,What will the announcers say during Game 5: Minnesota at Colorado,Game 5: Minnesota at Colorado,2026-05-14 03:05:13+00:00,10,2026-05-14 13:57:16+00:00,2026-05-14 03:05:13+00:00,2026-05-28T00:00:00+00:00,16
KXNHLMENTION-26MAY14VGKANA,2026-05-14,VGKANA,What will the announcers say during Game 6: Golden Knights at Ducks ,Game 6: Vegas at Anaheim ,2026-05-15 06:20:18+00:00,11,2026-05-15 13:40:05+00:00,2026-05-15 06:20:18+00:00,2026-05-29T01:30:00+00:00,16
KXNHLMENTION-26MAY16BUFMTL,2026-05-16,BUFMTL,What will the announcers say during Game 6: Sabres at Canadiens,Game 6: Buffalo at Montreal,2026-05-17 05:20:22+00:00,11,2026-05-17 17:53:25+00:00,2026-05-17 05:20:22+00:00,2026-05-31T00:00:00+00:00,16
KXNHLMENTION-26MAY20VGKCOL,2026-05-20,VGKCOL,What will the announcers say during Golden Knights at Avalanche ,Vegas at Colorado professional hockey game,2026-05-21 05:01:00+00:00,11,2026-05-21 13:59:06+00:00,2026-05-21 05:01:00+00:00,2026-06-04T00:00:00+00:00,16
KXNHLMENTION-26MAY21MTLCAR,2026-05-21,MTLCAR,What will the announcers say during Game 1: Canadiens at Hurricanes,Game 1: Montreal at Carolina ,2026-05-22 04:55:07+00:00,11,2026-05-22 14:25:45+00:00,2026-05-22 04:55:07+00:00,2026-06-05T00:00:00+00:00,16
KXNHLMENTION-26MAY24COLVGK,2026-05-24,COLVGK,What will the announcers say during COL Avalanche vs VGK Golden Knights Professional Hockey Game,COL Avalanche vs VGK Golden Knights Professional Hockey Game,2026-05-25 22:55:18+00:00,15,2026-05-25 22:55:21+00:00,2026-05-25 22:55:18+00:00,,15
KXNHLMENTION-26MAY25CARMTL,2026-05-25,CARMTL,What will the announcers say during CAR Hurricanes vs MTL Canadiens Professional Hockey Game,CAR Hurricanes vs MTL Canadiens Professional Hockey Game,2026-05-26 05:35:20+00:00,14,2026-05-26 12:40:00+00:00,2026-05-26 05:35:20+00:00,2026-06-09T00:00:00+00:00,15
KXNHLMENTION-26MAY26COLVGK,2026-05-26,COLVGK,What will the announcers say during COL Avalanche vs VGK Golden Knights Professional Hockey Game,COL Avalanche vs VGK Golden Knights Professional Hockey Game,2026-05-27 13:43:33+00:00,14,2026-05-27 13:46:07+00:00,2026-05-27 01:01:04+00:00,2026-06-10T01:00:00+00:00,15
KXNHLMENTION-26MAY27CARMTL,2026-05-27,CARMTL,What will the announcers say during CAR Hurricanes vs MTL Canadiens Professional Hockey Game,CAR Hurricanes vs MTL Canadiens Professional Hockey Game,2026-05-28 04:30:36+00:00,15,2026-05-28 04:30:39+00:00,2026-05-28 04:30:36+00:00,,15
KXNHLMENTION-26MAY29MTLCAR,2026-05-29,MTLCAR,What will the announcers say during MTL Canadiens vs CAR Hurricanes Professional Hockey Game,MTL Canadiens vs CAR Hurricanes Professional Hockey Game,2026-05-30 04:01:01+00:00,15,2026-05-30 04:01:04+00:00,2026-05-30 04:01:01+00:00,,15
KXNHLMENTION-26JUN02VGKCAR,2026-06-02,VGKCAR,What will the announcers say during VGK Golden Knights vs CAR Hurricanes Professional Hockey Game,VGK Golden Knights vs CAR Hurricanes Professional Hockey Game,2026-06-03 04:11:07+00:00,14,2026-06-03 13:59:14+00:00,2026-06-03 04:11:07+00:00,2026-06-17T00:00:00+00:00,15
KXNHLMENTION-26JUN04VGKCAR,2026-06-04,VGKCAR,What will the announcers say during VGK Golden Knights vs CAR Hurricanes Professional Hockey Game,VGK Golden Knights vs CAR Hurricanes Professional Hockey Game,2026-06-05 04:50:41+00:00,14,2026-06-05 09:19:33+00:00,2026-06-05 04:50:41+00:00,2026-06-06T02:00:00+00:00,15
KXNHLMENTION-26JUN06CARVGK,2026-06-06,CARVGK,What will the announcers say during CAR Hurricanes vs VGK Golden Knights Professional Hockey Game,CAR Hurricanes vs VGK Golden Knights Professional Hockey Game,2026-06-07 05:00:55+00:00,10,2026-06-07 15:53:52+00:00,2026-06-07 05:00:55+00:00,2026-06-21T00:00:00+00:00,15
KXNHLMENTION-26JUN09CARVGK,2026-06-09,CARVGK,What will the announcers say during CAR Hurricanes vs VGK Golden Knights Professional Hockey Game,CAR Hurricanes vs VGK Golden Knights Professional Hockey Game,2026-06-10 04:00:46+00:00,14,2026-06-10 13:35:42+00:00,2026-06-10 04:00:46+00:00,2026-06-24T00:00:00+00:00,15
KXNHLMENTION-26JUN11VGKCAR,2026-06-11,VGKCAR,What will the announcers say during VGK Golden Knights vs CAR Hurricanes Professional Hockey Game,VGK Golden Knights vs CAR Hurricanes Professional Hockey Game,2026-06-12 03:45:22+00:00,15,2026-06-12 03:45:24+00:00,2026-06-12 03:45:22+00:00,,15
