event_ticker,match_name,kickoff_utc,stage,status_detail,went_et,went_pens,est_end_utc,match_confidence,notes
KXWCMENTION-26JUN11KORCZE,Korea Republic vs Czechia,2026-06-12T02:00Z,group,FT,0,0,2026-06-12T03:57:03+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN11MEXRSA,Mexico vs South Africa,2026-06-11T19:00Z,group,FT,0,0,2026-06-11T21:03:44+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN12USAPAR,USA vs Paraguay,2026-06-13T01:00Z,group,FT,0,0,2026-06-13T03:02:50+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN12CANBIH,Canada vs Bosnia and Herzegovina,2026-06-12T19:00Z,group,FT,0,0,2026-06-12T20:57:45+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN13HTISCO,Haiti vs Scotland,2026-06-14T01:00Z,group,FT,0,0,2026-06-14T03:02:23+00:00,med,"end from ESPN wallclock (End Regular Time); matched by team names (Kalshi ISO code vs ESPN FIFA code, e.g. DZA/ALG, HTI/HAI)"
KXWCMENTION-26JUN13BRAMAR,Brazil vs Morocco,2026-06-13T22:00Z,group,FT,0,0,2026-06-14T00:05:27+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN13QATSUI,Qatar vs Switzerland,2026-06-13T19:00Z,group,FT,0,0,2026-06-13T21:04:40+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN14SWETUN,Sweden vs Tunisia,2026-06-15T02:00Z,group,FT,0,0,2026-06-15T03:57:34+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN14CIVECU,Ivory Coast vs Ecuador,2026-06-14T23:00Z,group,FT,0,0,2026-06-15T01:04:45+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN14NEDJPN,Netherlands vs Japan,2026-06-14T20:00Z,group,FT,0,0,2026-06-14T21:55:29+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN14GERCUW,Germany vs Curacao,2026-06-14T17:00Z,group,FT,0,0,2026-06-14T18:58:53+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN14AUSTUR,Australia vs Turkiye,2026-06-14T04:00Z,group,FT,0,0,2026-06-14T05:56:47+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN15IRINZL,IR Iran vs New Zealand,2026-06-16T01:00Z,group,FT,0,0,2026-06-16T03:03:14+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN15KSAURU,Saudi Arabia vs Uruguay,2026-06-15T22:00Z,group,FT,0,0,2026-06-16T00:04:24+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN15BELEGY,Belgium vs Egypt,2026-06-15T19:00Z,group,FT,0,0,2026-06-15T20:57:41+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN15ESPCPV,Spain vs Cape Verde,2026-06-15T16:00Z,group,FT,0,0,2026-06-15T17:56:33+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN16ARGDZA,Argentina vs Algeria,2026-06-17T01:00Z,group,FT,0,0,2026-06-17T02:59:59+00:00,med,"end from ESPN wallclock (End Regular Time); matched by team names (Kalshi ISO code vs ESPN FIFA code, e.g. DZA/ALG, HTI/HAI)"
KXWCMENTION-26JUN16IRQNOR,Iraq vs Norway,2026-06-16T22:00Z,group,FT,0,0,2026-06-17T00:00:30+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN16FRASEN,France vs Senegal,2026-06-16T19:00Z,group,FT,0,0,2026-06-16T21:03:57+00:00,high,end from ESPN wallclock (End Regular Time)
KXWCMENTION-26JUN17UZBCOL,Uzbekistan vs Colombia,2026-06-18T02:00Z,group,FT,0,0,2026-06-18T04:02:16+00:00,high,end from ESPN wallclock (End Regular Time)
